ID,listing_date,type,category,selling_price_per_meter_usd,selling_price_per_meter_iqdr,rent_price_iqdr,Bedrooms,bathrooms,balcony,master bedroom,sqmt_living,floors,condition,furnished,year_built,area_type,floor_apartment,neighbourhood,county,street,view,wajiha,sqmt_street,rent_price_usd
,9/9/2024,apartment,rent,,,"2,250,000",3,2,,,200,1,lickable,half,2023,suburb,1,dawoodi,mansour,,shamaliye,,,
,9/9/2024,apartment,rent,,,"1,800,000",2,2,,,100,1,lickable,fully,2023,suburb,0,daragh ,mansour,,shamaliye,,,
,9/5/2024,apartment,rent,,,"2,175,000",3,2,,,200,1,lickable,half,2023,suburb,1,dawoodi,mansour,,shamaliye,,,
,9/5/2024,apartment,rent,,,,2,1,,,162,1,lickable,no,2023,suburb,0,,mansour,,,,,900
,9/1/2024,apartment,rent,,,"1,160,000",2,1,1,,150,1,good,no,1 - 5,suburb,1,muhandeseen,mansour,,shamaliye,,,
,9/1/2024,apartment,rent,,,"800,000",1,1,,,72,1,good,no,1 - 5,suburb,0,muhandeseen,mansour,,shamaliye,,,
,9/10/2024,adu,rent,,,"1,350,000",3,1,,,200,1,lickable,no,1 - 5 ,suburb,1,beiji,mansour,,,,,
,8/29/2024,apartment,rent,,,"1,305,000",1,1,,,90,1,good,fully,2023,suburb,0,,mansour,,,,,
,8/29/2024,apartment,rent,,,"900,000",2,1,,,100,1,good,half,1 - 5,suburb,0,dawoodi,mansour,,shamaliye,,,
,8/28/2024,apartment,rent,,,"1,450,000",3,2,1,,187,1,lickable,half,2023,urban,7,mansour city,mansour,,shamlaiye,,,
,8/28/2024,apartment,rent,,,"725,000",studio,1,1,,50,1,lickable,no,2023,suburb,3,dawoodi,mansour,,,,,
,8/28/2024,apartment,rent,,,"1,350,000",2,1,1,,120,1,lickable,no,2023,suburb,1,dawoodi,mansour,,shamaliye,,,
,8/28/2024,apartment,rent,,,"1,000,000",2,1,,,140,1,new,no,2023,suburb,1,,mansour,,shamaliye,,,
,8/22/2024,apartment,rent,,,"1,100,000",1,1,,,50,1,,no,1 - 5,suburb,0,zohuur,mansour,,sharqiye,,,
,8/20/2024,apartment,rent,,,"1,000,100",2,1,,,100,1,new,no,2023,suburb,0,mahalle 607,mansour,,,,,
,8/18/2024,apartment,rent,,,"1,100,000",2,1,,,120,1,good,no,1 - 5,suburb,0,dawoodi 611,mansour,,shamaliya gharbiya,,,
,8/28/2024,apartment,rent,,,"1,950,000",2,2,,,150,3,new,half,1 - 5,suburb,1,mutanabi,mansour,,shamaliye,,,
,8/17/2024,apartment,rent,,,"1,000,000",2,1,2,,100,1,good,no,6 - 9,suburb,1,mutanabi,mansour,,gharbia,,,
,8/28/2024,adu,rent,,,"1,950,000",2,2,,,150,2,good,no,1 - 5,suburb,,dawoodi 611,mansour,,shamaliye,,,
,9/10/2024,adu,rent,,,"1,500,000",3,3,,,80,,lickable,no,1 - 5,suburb,,alarabi,mansour,,shamaliye,,,
,9/10/2024,house,rent,,,"2,800,000",5,5,,,360,,good,no,20+,suburb,,mutanabi,mansour,,gharbia,,,
,9/10/2024,house,rent,,,"2,320,000",3,2,,,300,2,new,no,2023,suburb,,,mansour,,shamaliye sharqiye ,,,
,9/5/2024,adu,rent,,,"1,950,000",2,2,1,,150,2,new,no,1 - 5,suburb,,dawoodi,mansour,,shamaliye,,,
,8/23/2024,house,rent,,,"3,000,000",5,3,1,,210,2,good,no,10 - 19,suburb,,alarabi,mansour,,,,,
,8/23/2024,house,rent,,,"2,000,000",3,3,1,,200,2,new,no,1 - 5,suburb,,,mansour,,,,,
,8/23/2024,adu,rent,,,"1,000,000",2,2,,,65,2,new,no,2023,suburb,,beiji,mansour,,shamaliye sharqiye,,,
,8/21/2024,house,rent,,,"4,350,000",4,3,1,,300,2,good,no,1 - 5,suburb,,mutanabi,mansour,,,,,
,8/20/2024,house,rent,,,"1,160,000",3,3,1,,150,3,good,no,1 - 5,suburb,,,mansour,,gharbiye,,,
,null,apartment,rent,,,"750,000",2,1,,,100,,good,no,,suburb,,,mansour,,,,,
,8/23/2024,apartment,buy,,"330,000,000",,3,2,1,,169,1,new,no,2024,urban,10 +,mansour city complex,mansour,,shamaliye sharqiye,,,
,7/26/2024,3 floors apartment building,buy,,"739,500,000",,3,3,for each apartment,,165,3,under construction,no,2024,suburb,,daragh,mansour,,shamaliye  ,,,
,8/23/2024,house,rent,,,,,,,,,,,,,suburb,,,mansour,,,,,
,8/23/2024,house,rent,,,,,,,,,,,,,suburb,,,mansour,,,,,
,8/23/2024,house,rent,,,,,,,,,,,,,,,,mansour,,,,,
,8/23/2024,house,rent,,,,,,,,,,,,,,,,mansour,,,,,
,,,,,,,,,,,,,,,,,,,mansour,,,,,
,,,,,,,,,,,,,,,,,,,mansour,,,,,
,,,,,,,,,,,,,,,,,,,mansour,,,,,
,,,,,,,,,,,,,,,,,,,mansour,,,,,
,,,,,,,,,,,,,,,,,,,mansour,,,,,
,,,,,,,,,,,,,,,,,,,mansour,,,,,
,,,,,,,,,,,,,,,,,,,mansour,,,,,
,,,,,,,,,,,,,,,,,,,mansour,,,,,
,,,,,,,,,,,,,,,,,,,mansour,,,,,
,,,,,,,,,,,,,,,,,,,mansour,,,,,
,,,,,,,,,,,,,,,,,,,mansour,,,,,
,,,,,,,,,,,,,,,,,,,mansour,,,,,
,,,,,,,,,,,,,,,,,,,mansour,,,,,
